"Total energy production, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"79,173","78,125","78,468","82,421","87,913","85,250","86,062","83,470","84,378","83,888","80,385","85,674","91,157","96,078","96,381","129,034","154,645","153,466","161,709","174,473","205,200","186,114","191,300","206,598","189,705","233,929","203,156","283,122","285,034","455,132","465,821","469,939","493,570","495,319","513,269","542,312","538,746","552,542","550,268","541,315","544,004","525,829","590,170","540,473","554,427","518,963","524,996","528,224","491,932","506,040","549,655","539,366","548,510","569,264","587,823","604,455","617,115","600,790","613,654","617,344","608,499","621,561","629,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,93,83,69,284,617,529,525,628,999,"1,070",796,652,859,866,904,874,"1,017",752,561,634,"12,205","13,005","12,744","14,322","14,651","14,573","16,641","18,170","19,756","28,153","27,178","26,765","26,202","26,238","23,020","22,171","21,531","19,937","19,091","19,430","17,784","10,241","9,299","11,487","11,680","10,784","11,289","11,350","12,201","12,213","11,494","11,781","11,967","14,827","15,174","15,204","16,893","14,974","14,790","14,258","15,106","16,665","16,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"31,468","28,369","32,265","33,099","28,030","30,170","30,092","26,821","27,692","27,809","29,841","29,066","27,891","21,665","36,867","47,944","50,439","52,630","34,872","55,866","90,195","97,350","96,480","98,813","110,731","103,984","142,011","147,630","158,302","128,630","121,971","135,837","134,641","138,529","150,450","145,390","154,452","148,246","141,308","143,558","146,321","136,622","149,090","164,786","212,553","245,341","303,354","365,898","436,961","543,494","600,941","650,111","632,378","660,735","665,457","710,211","728,503","761,093","789,483","806,800","739,406","748,411","770,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"32,388","29,904","31,236","30,959","32,529","33,020","33,565","33,833","33,676","32,048","35,620","36,666","38,130","39,456","43,380","46,157","49,181","38,568","50,743","50,115","47,085","48,758","55,615","61,473","63,613","56,084","61,146","44,931","40,889","59,018","55,796","54,593","49,021","59,217","52,046","64,081","72,208","79,533","72,434","75,764","66,995","55,054","54,490","53,472","56,498","64,817","72,248","66,117","71,339","65,792","72,555","85,405","77,725","72,903","83,526","89,183","89,655","97,762","99,792","95,763","79,203","75,856","87,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,524,923","1,504,935","1,598,013","1,643,672","1,687,618","1,726,363","1,834,171","1,843,760","1,770,402","1,787,507","1,775,605","1,611,198","1,840,569","1,770,757","1,674,353","1,716,106","1,751,821","1,659,832","1,606,779","1,784,659","1,885,875","1,706,214","1,905,598","1,872,039","2,100,558","2,054,180","2,146,805","2,151,664","2,355,247","2,383,297","2,343,493","2,340,323","2,365,659","1,974,593","2,165,940","2,120,804","1,966,524","1,658,856","1,668,355","1,956,562","1,888,016","1,907,736","1,911,612","1,934,954","1,899,420","1,896,706","1,917,259","1,973,324","1,992,350","2,068,369","2,096,733","2,196,966","2,439,966","2,518,395","2,680,517","2,617,596","2,372,029","2,452,068","2,462,526","2,385,952","2,069,022","2,158,814","2,208,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"440,400","427,206","444,017","429,520","424,496","436,156","471,620","501,148","487,700","519,159","564,780","540,161","642,426","610,751","572,081","598,195","607,995","669,023","592,863","674,084","753,283","721,867","782,347","789,674","911,312","831,939","825,912","854,483","795,943","833,101","872,129","776,850","754,685","720,315","753,986","643,786","717,775","841,797","867,335","809,253","674,288","871,643","851,604","857,091","851,773","837,905","842,404","866,241","946,002","961,038","992,522","1,061,325","1,024,585","1,095,009","1,110,380","1,008,855","896,384","957,072","1,033,347","945,773","669,757","690,465","797,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"1,358,994","1,362,634","1,415,231","1,444,793","1,467,865","1,486,744","1,534,838","1,534,824","1,471,588","1,489,695","1,492,383","1,437,029","1,418,969","1,371,062","1,326,203","1,259,321","1,241,413","1,194,843","1,269,809","1,214,724","1,175,656","1,118,806","930,664","949,450","1,006,481","1,088,285","1,029,916","1,016,315","1,085,865","1,109,616","1,060,601","1,119,985","1,143,319","1,144,508","1,169,779","1,181,535","1,132,142","1,086,013","1,004,025","908,885","905,908","865,792","833,617","796,702","786,499","751,279","771,638","786,711","825,174","797,412","790,203","758,155","757,591","764,908","809,276","785,493","709,086","714,055","676,983","656,137","630,118","601,734","628,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"1,827,058","1,712,071","1,854,033","2,055,793","2,197,357","2,270,555","2,436,135","2,608,652","2,617,144","2,798,449","3,208,747","3,052,454","3,082,056","3,221,117","3,418,225","3,596,099","3,643,930","3,661,347","3,428,283","3,793,425","3,843,424","4,107,693","3,912,972","3,430,753","4,166,033","4,011,381","4,049,097","4,301,282","4,163,482","4,371,439","4,556,004","4,204,261","4,264,876","4,110,493","4,240,919","4,043,772","4,001,728","4,069,913","3,960,221","3,622,702","3,397,692","3,457,630","3,244,465","2,956,547","3,005,366","3,134,440","3,161,081","3,034,406","3,113,172","2,804,741","2,770,729","2,831,137","2,384,403","2,120,683","2,052,345","1,665,609","1,215,112","1,193,839","1,129,168","1,022,196","746,517","785,728","865,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"5,066,112","5,366,296","5,692,599","6,118,492","6,408,290","6,733,987","7,409,292","8,238,870","8,654,093","9,097,934","9,358,093","9,224,533","8,617,101","8,276,311","7,226,422","6,162,377","5,705,547","5,432,860","5,315,113","4,773,172","4,403,760","4,152,387","3,786,731","3,422,307","3,537,172","3,166,360","3,377,900","3,290,383","3,282,121","3,165,107","3,132,466","3,087,431","3,042,223","3,073,739","3,020,881","3,048,210","3,041,485","3,009,835","3,010,829","2,898,947","2,746,409","2,761,293","2,559,795","2,486,714","2,501,030","2,321,934","2,376,258","2,390,799","2,300,506","2,456,635","3,166,761","3,974,355","3,792,696","3,231,342","2,848,547","2,635,513","2,615,525","2,886,254","3,583,560","3,923,046","3,870,550","4,106,785","4,786,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"46,529","56,812","55,955","58,935","63,589","62,370","65,063","67,279","70,388","71,029","72,981","71,814","69,495","108,422","86,149","92,043","97,565","99,962","127,135","137,369","106,648","117,902","111,079","142,738","74,167","128,749","92,488","69,970","72,210","95,902","110,174","105,052","111,077","109,233","107,326","113,682","126,114","110,526","119,201","105,737","119,709","96,843","101,030","94,985","106,387","91,043","96,514","86,736","96,536","97,983","105,755","98,165","103,768","92,138","110,005","101,104","105,991","100,517","96,586","72,387","46,493","48,807","52,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"51,558","50,296","51,104","59,676","59,767","62,031","64,488","69,667","74,023","71,583","79,988","78,568","81,978","80,753","89,994","147,162","178,356","233,013","225,313","218,659","245,945","269,798","250,567","246,012","272,853","224,569","274,832","240,708","243,560","156,290","135,746","221,978","229,679","251,803","249,461","271,957","279,202","284,512","280,770","274,494","296,948","279,390","279,178","303,708","318,072","312,581","298,439","234,519","251,150","242,070","243,129","256,296","232,358","233,984","235,433","231,517","225,095","235,702","226,684","224,093","210,992","213,754","216,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"38,883","37,729","37,615","38,725","38,510","37,108","38,863","40,369","41,601","42,215","39,213","38,020","41,968","79,591","83,690","91,379","114,057","106,759","113,825","106,464","152,305","167,175","156,279","181,869","173,885","173,982","167,651","139,838","153,647","203,703","174,473","196,125","190,797","196,058","201,815","139,819","191,582","137,018","126,027","133,593","138,647","127,839","121,672","111,046","114,116","132,727","124,501","130,786","153,013","119,573","131,655","132,020","129,106","133,397","128,587","133,762","114,572","114,543","116,868","115,031","98,806","94,212","96,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"159,454","182,611","172,970","172,213","169,648","168,968","168,687","165,007","167,906","158,683","157,260","144,012","179,953","204,740","224,171","368,226","461,840","498,532","574,206","618,361","653,355","657,871","627,527","635,300","600,646","557,461","536,331","578,056","606,641","635,704","620,993","692,811","597,225","689,731","548,477","671,276","714,478","711,293","572,901","587,986","655,509","693,427","730,190","671,819","723,602","753,796","716,342","763,203","664,474","545,954","625,559","679,096","619,825","639,818","659,136","644,150","650,633","658,470","642,005","655,001","593,701","641,444","562,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"28,441","27,142","27,479","26,390","27,218","28,787","28,226","27,954","26,962","27,125","26,493","41,952","66,844","64,734","78,139","137,910","141,024","152,231","169,544","172,728","158,682","162,346","164,756","183,185","149,481","182,547","173,155","173,494","185,809","173,441","182,345","182,384","179,062","188,067","191,731","207,274","198,976","189,644","195,201","223,220","227,344","220,098","238,517","241,518","253,930","260,878","285,403","301,174","322,071","355,242","396,185","388,096","377,997","363,875","410,801","408,899","431,152","433,227","445,717","439,982","423,599","435,322","461,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
