"Renewable energy production, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"79,073","78,025","78,468","82,421","87,913","85,250","86,062","83,470","84,378","83,888","80,385","85,674","91,157","96,078","95,895","93,112","104,309","107,806","112,073","118,391","113,186","106,315","118,156","121,827","130,374","126,328","126,582","123,789","124,419","190,966","203,421","197,187","200,421","209,260","210,923","220,160","224,444","233,372","221,057","212,369","205,344","174,091","265,343","193,872","202,506","189,871","191,015","186,860","160,697","174,672","199,387","201,314","192,835","225,463","247,171","250,572","256,482","248,229","254,393","266,585","265,602","267,476","273,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,93,83,69,284,617,529,525,628,999,"1,070",796,652,859,866,904,874,"1,017",752,561,634,"12,205","13,005","12,744","14,322","14,651","14,573","16,641","18,170","19,756","28,153","27,178","26,765","26,202","26,238","23,020","22,171","21,531","19,937","19,091","19,430","17,784","10,241","9,299","11,487","11,680","10,784","11,289","11,350","12,201","12,213","11,494","11,781","11,967","14,827","15,174","15,204","16,893","14,974","14,790","14,258","15,106","16,665","16,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"9,410","9,222","8,926","8,046","7,934","8,628","8,921","8,584","9,599","9,159","9,456","9,672","10,315","10,368","10,712","10,885","10,696","11,612","12,823","12,715","51,956","58,324","59,840","65,775","71,123","71,697","100,695","111,951","117,723","86,613","82,386","85,590","93,311","101,127","106,620","106,200","113,242","104,705","101,783","105,517","99,882","96,388","101,329","123,226","161,154","197,979","250,183","318,499","381,752","494,557","554,423","595,539","586,826","605,138","622,027","655,375","679,318","706,564","738,301","752,128","709,062","748,411","770,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"32,388","29,904","31,236","30,959","32,529","33,020","33,565","33,833","33,676","32,048","35,620","36,666","38,130","39,456","43,380","46,157","49,181","38,568","50,743","50,115","47,085","48,758","55,615","61,473","63,613","56,084","61,146","44,931","40,889","59,018","55,796","54,593","49,021","59,217","52,046","64,081","72,208","79,533","72,434","75,764","66,995","55,054","54,490","53,472","56,498","64,817","72,248","66,117","71,339","65,792","72,555","85,405","77,725","72,903","83,526","87,819","83,218","93,049","97,177","94,499","79,085","74,283","84,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"31,663","30,809","31,511","33,167","33,237","33,805","35,866","36,183","38,867","40,517","39,885","39,664","40,444","42,962","43,077","42,042","46,568","50,404","62,032","63,724","91,400","102,229","116,680","144,629","144,667","149,442","159,466","171,112","179,577","148,417","115,942","125,161","133,453","120,127","121,650","119,951","87,466","102,241","104,277","103,042","108,816","112,174","139,390","158,374","152,828","136,545","133,718","163,268","183,743","232,230","269,161","273,328","276,973","295,603","306,069","290,705","311,818","306,086","290,347","291,260","289,750","304,992","333,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"23,819","23,426","23,550","23,640","22,850","22,400","23,649","24,073","25,019","25,816","24,986","24,112","28,142","28,755","28,888","28,234","32,684","36,144","43,307","48,814","52,835","55,600","55,088","60,718","57,478","66,984","68,522","73,057","77,274","66,078","57,018","58,192","57,955","49,450","48,606","49,279","44,944","41,931","40,935","40,351","40,030","45,664","49,752","52,446","51,952","55,702","45,783","69,522","127,415","145,408","184,107","199,631","175,193","189,778","202,728","212,230","225,053","227,326","236,818","219,234","206,591","237,409","251,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"3,979","3,739","3,561","3,681","3,580","3,404","3,436","3,284","3,388","3,235","3,682","3,890","5,670","6,009","5,869","5,779","6,490","6,831","7,507","7,903","9,030","8,508","11,003","11,480","14,124","14,693","21,861","21,307","22,676","18,589","14,798","15,551","15,305","15,439","15,211","15,012","12,499","11,790","11,581","11,444","11,810","12,631","18,954","23,958","25,890","28,222","33,180","42,163","73,864","72,817","81,821","85,012","81,664","96,294","113,440","112,288","123,462","140,461","145,643","157,699","169,674","175,281","201,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"31,402","30,224","31,596","31,134","29,999","30,086","31,345","35,123","32,913","32,489","34,548","36,925","40,301","40,955","42,781","42,637","46,122","40,872","48,406","55,181","35,315","36,840","45,822","41,925","50,014","48,848","44,037","39,787","39,694","42,118","28,385","30,936","31,892","26,220","28,961","27,584","30,916","24,981","22,338","20,784","20,271","26,509","35,646","39,112","44,177","47,933","45,528","45,452","48,672","51,775","54,435","59,783","53,967","60,523","62,461","55,147","56,552","63,260","64,688","65,594","61,308","61,894","68,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"38,992","37,174","36,785","39,147","39,291","38,299","39,754","37,685","40,791","40,698","41,620","41,912","44,819","45,748","44,928","42,358","45,170","46,692","47,825","44,717","64,707","68,263","69,667","74,654","78,627","78,537","99,811","100,062","103,943","129,286","120,610","122,897","126,249","128,994","140,535","145,028","145,764","142,583","140,271","142,844","138,715","131,018","134,911","142,621","178,384","145,968","145,180","145,147","102,917","99,294","106,239","113,019","111,635","133,651","162,543","147,818","175,201","163,827","166,802","164,357","165,447","175,319","223,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"46,135","46,881","47,937","47,754","49,424","50,963","52,491","52,573","56,632","58,415","59,709","56,260","53,316","52,593","53,953","50,406","57,090","60,390","66,192","71,256","71,392","70,135","64,867","76,623","62,946","63,608","66,884","58,107","60,369","63,995","56,528","58,748","61,424","63,660","66,997","66,549","70,193","65,292","59,419","58,519","62,221","43,124","40,792","43,105","44,460","33,905","35,681","33,035","35,197","41,546","43,902","44,953","42,365","46,887","49,666","48,868","49,363","47,728","50,150","49,653","46,493","48,807","52,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
