"Nuclear energy consumed for electricity generation, total, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,842","25,235","27,384","31,102","13,225","31,432","27,955","24,309","25,126","25,177","29,274","20,467","31,666","26,348","33,536","33,221","31,868","43,475","35,655","33,981","42,930","39,191","41,210","43,541","39,525","38,041","46,439","40,234","47,761","41,559","51,399","47,362","53,171","47,398","55,210","48,937","46,518","54,572","45,552","55,597","43,431","54,836","49,185","54,528","51,181","54,671","30,344",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"2,958","6,144","13,870","11,093","11,710","11,393","16,358","9,325","10,380","9,111","27,600","47,396","141,019","218,614","218,667","245,760","292,243","307,424","360,238","298,772","302,604","325,199","305,891","305,571","379,243","415,387","450,809","524,124","733,298","791,821","760,711","753,444","772,156","823,235","759,385","824,598","732,840","535,916","583,254","854,224","932,749","964,500","948,761","987,308","959,869","973,293","982,498","1,004,100","994,526","998,562","1,005,374","1,002,694","1,010,189","1,014,926","1,023,496","1,017,377","1,031,331","1,016,522","1,025,651","1,030,996","1,047,170","1,011,555","1,031,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,960","73,616","67,572","70,503","102,753","83,328","61,422","88,906","82,977","89,145","105,723","86,176","88,469","109,219","95,687","94,495","108,050","94,413","92,648","105,664","92,055","97,570","108,762","88,812","91,710","99,876","76,585","86,818","74,902","89,512","90,254","86,245","111,367","95,854","96,565","110,545","89,426","93,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,102","112,532","128,688","146,152","131,136","150,230","146,317","108,433","151,238","133,562","164,812","165,578","141,785","172,341","137,016","164,734","181,041","180,702","168,069","178,110","163,598","174,634","179,127","160,658","175,524","194,818","173,859","164,092","177,156","181,059","160,015","179,391","161,171","179,330","145,993","177,055","179,886","168,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,394,"9,931","8,017","11,181","14,166","11,407","12,572","14,707","13,757","12,614","13,272","15,554","16,179","55,829","32,196","41,636","40,475","39,571","60,943","66,113","35,255","47,766","46,212","66,116","11,221","65,141","25,604","11,863","11,841","31,906","53,647","46,304","49,653","45,574","40,330","47,133","55,922","45,234","59,782","47,218","57,487","53,719","60,237","51,880","61,928","57,138","60,832","53,701","61,339","56,437","61,853","53,212","61,402","45,251","60,340","52,236","56,628","52,788","46,437","22,734",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,307","70,921","117,181","108,272","105,240","119,409","127,095","114,555","127,325","126,334","105,434","135,704","105,147","124,404","28,777","13,242","94,734","111,662","129,208","117,432","135,939","127,010","138,657","139,851","139,114","144,204","142,612","126,641","142,685","152,043","153,443","144,320","150,551","153,422","152,180","146,265","150,655","142,297","149,048","150,017","153,140","154,377","158,004","156,699","156,765","157,531","156,369","154,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,586,"36,540","39,893","49,586","65,496","55,386","58,582","48,928","48,040","57,488","50,097","62,488","55,552","56,875","66,032","42,216","53,192","73,464","51,436","65,676","56,104","60,292","69,317","2,076","53,166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
