"Renewable energy total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"79,073","78,025","78,468","82,421","87,913","85,250","86,062","83,470","84,378","83,888","80,385","85,674","91,157","96,078","95,895","93,112","104,309","107,806","112,073","118,391","113,186","106,352","118,157","121,828","130,374","126,328","126,582","123,789","124,473","191,269","204,147","197,973","200,633","209,652","211,034","220,171","224,444","233,372","221,057","212,369","205,344","174,098","265,354","193,882","202,376","191,863","194,102","191,376","184,537","199,864","226,153","229,634","224,059","260,596","277,119","281,970","272,380","266,840","269,707","278,994","280,803","283,564","286,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,93,83,69,284,617,529,525,628,999,"1,070",796,652,859,866,904,874,"1,017",752,561,634,"12,205","13,019","12,747","14,322","14,651","14,573","16,641","18,170","19,756","28,153","27,178","26,765","26,202","26,238","23,020","22,171","21,531","19,937","19,091","19,430","17,784","10,248","9,310","11,495","11,698","12,034","12,819","13,317","15,622","16,109","14,451","15,591","15,301","18,041","18,747","19,675","21,675","20,024","19,630","18,840","18,634","20,352","20,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"9,410","9,222","8,926","8,046","7,934","8,628","8,921","8,584","9,599","9,159","9,456","9,672","10,315","10,368","10,712","10,885","10,696","11,612","12,823","12,715","51,956","57,265","60,441","65,552","69,102","68,965","93,274","100,855","106,668","72,935","67,908","69,801","73,277","75,750","78,020","77,467","82,247","74,583","72,818","75,731","71,239","67,480","72,597","81,767","98,090","107,696","121,841","152,781","181,596","236,137","270,862","280,133","280,227","289,684","301,879","318,443","330,249","342,813","351,318","369,223","365,607","388,813","417,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"32,388","29,904","31,236","30,959","32,529","33,020","33,565","33,833","33,676","32,048","35,620","36,666","38,130","39,456","43,380","46,157","49,181","38,568","50,743","50,115","47,085","48,758","55,635","61,544","63,453","55,810","60,875","44,656","40,786","59,212","55,987","54,792","49,024","58,875","51,607","63,648","72,019","79,204","72,052","75,416","66,584","54,613","53,899","52,787","56,199","66,000","73,414","67,907","70,656","67,562","70,914","84,613","77,809","73,263","83,287","88,853","85,045","94,677","98,525","96,888","85,442","80,779","86,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"31,663","30,809","31,511","33,167","33,237","33,805","35,866","36,183","38,867","40,517","39,885","39,664","40,444","42,962","43,077","42,042","46,568","50,404","62,032","63,724","91,400","99,380","107,560","125,462","123,753","129,310","140,300","150,782","159,564","131,090","101,973","107,987","113,849","97,273","100,045","97,004","82,764","90,517","90,544","92,867","96,707","99,873","110,708","126,015","125,050","107,993","106,647","125,593","144,679","167,385","187,252","193,736","194,273","208,627","215,357","205,971","213,268","214,189","208,272","212,538","205,918","221,913","245,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"23,819","23,426","23,550","23,640","22,850","22,400","23,649","24,073","25,019","25,816","24,986","24,112","28,142","28,755","28,888","28,234","32,684","36,144","43,307","48,814","52,835","55,600","56,082","64,951","62,045","66,672","68,414","73,207","77,085","66,823","57,729","59,103","59,138","50,485","48,955","51,468","46,611","43,216","41,269","44,825","44,680","49,208","52,552","54,645","55,154","60,939","52,408","64,690","94,961","106,577","126,797","132,741","122,421","133,966","138,689","143,442","151,409","150,723","155,682","149,440","142,065","160,847","170,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"3,979","3,739","3,561","3,681","3,580","3,404","3,436","3,284","3,388","3,235","3,682","3,890","5,670","6,009","5,869","5,779","6,490","6,831","7,507","7,903","9,030","8,429","10,346","10,668","14,622","14,781","21,759","20,455","21,647","17,643","13,776","14,232","14,180","13,478","13,015","12,871","11,716","10,255","9,818","10,058","9,816","10,477","16,319","19,377","17,119","20,107","21,906","28,654","46,821","48,410","53,570","57,930","58,263","75,066","85,579","84,838","96,781","111,701","114,992","122,831","130,848","135,801","152,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"31,402","30,224","31,596","31,134","29,999","30,086","31,345","35,123","32,913","32,489","34,548","36,925","40,301","40,955","42,781","42,637","46,122","40,872","48,406","55,181","35,315","36,864","45,977","42,736","52,566","52,476","49,582","46,185","45,231","46,166","31,300","33,801","35,252","28,339","29,855","28,033","31,382","25,533","22,665","21,088","20,504","26,855","37,866","44,005","46,223","55,219","53,194","55,020","59,129","63,979","68,142","71,725","65,895","76,322","77,402","69,247","71,453","77,044","78,301","77,995","71,810","73,791","80,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"38,992","37,174","36,785","39,147","39,291","38,299","39,754","37,685","40,791","40,698","41,620","41,912","44,819","45,748","44,928","42,358","45,170","46,692","47,825","44,717","64,707","68,263","69,667","74,654","78,816","79,343","102,343","102,199","104,615","129,814","120,927","123,489","127,019","129,759","141,614","145,672","145,919","142,648","140,327","142,980","138,738","131,061","138,094","146,645","182,515","146,512","146,066","146,627","107,866","111,387","127,408","128,492","126,485","144,822","166,094","151,480","168,655","155,142","152,924","141,712","136,714","136,496","133,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"46,135","46,881","47,937","47,754","49,424","50,963","52,491","52,573","56,632","58,415","59,709","56,260","53,316","52,593","53,953","50,406","57,090","60,390","66,192","71,256","71,392","70,179","64,869","76,623","62,946","63,608","66,884","58,107","60,369","63,995","56,528","58,748","61,424","63,660","66,997","66,549","70,193","65,292","59,419","58,519","62,221","43,130","40,875","43,186","45,170","40,064","52,343","54,415","53,025","61,283","68,551","69,123","65,704","72,357","74,701","75,073","76,800","75,135","75,953","75,027","67,265","71,756","75,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
