"All petroleum products total consumption, excluding biofuels, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"301,423","298,313","327,690","343,066","359,649","390,399","413,509","454,111","488,707","520,566","553,586","596,435","653,498","719,582","694,383","655,514","727,308","757,522","754,682","742,459","692,211","652,903","642,879","685,558","728,111","771,709","753,485","791,671","825,122","797,088","815,477","780,556","795,239","872,312","880,083","924,610","977,292","938,363","961,594","1,013,518","1,013,420","1,011,020","1,006,589","1,033,435","1,079,645","1,120,350","1,089,023","1,052,558","946,224","991,848","1,052,237","1,016,118","956,122","975,666","948,453","997,508","971,896","1,028,440","998,675","996,177","875,712","920,862","938,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"94,547","113,496","108,072","113,818","122,004","129,295","144,166","162,476","181,142","189,090","195,388","210,390","216,566","222,784","210,553","212,880","218,380","231,980","235,827","255,346","249,539","223,133","203,563","205,190","216,113","232,123","227,619","228,894","268,023","280,097","292,762","266,571","272,480","239,247","257,889","252,252","238,601","230,468","233,508","229,893","235,191","239,817","257,441","269,414","282,864","293,847","295,474","303,540","239,055","238,955","262,031","266,019","259,024","260,346","250,169","254,200","252,054","262,294","261,536","264,416","187,940","223,004","241,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"284,968","276,695","284,716","290,839","291,326","293,900","317,679","331,001","341,249","348,512","346,563","358,258","374,107","395,831","377,015","373,735","410,376","417,143","414,715","425,775","350,023","328,458","339,038","318,754","312,600","313,930","318,227","309,604","317,882","312,206","304,549","304,543","314,515","339,473","353,616","361,136","365,993","362,421","386,346","401,164","395,259","381,227","396,593","375,212","414,787","428,465","435,701","420,924","423,828","416,419","417,223","415,548","392,006","415,110","424,219","415,141","424,942","409,308","418,788","430,682","404,285","410,178","424,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"73,643","77,658","81,066","79,238","84,040","86,807","87,936","104,391","110,706","105,973","105,159","107,407","114,019","117,922","120,239","125,511","130,343","134,913","143,602","135,383","112,680","98,602","96,011","100,634","98,726","101,978","103,914","105,281","108,434","115,788","120,117","120,517","118,730","128,448","132,069","140,739","149,928","146,540","152,565","165,044","167,339","155,395","160,021","140,328","156,496","159,726","165,353","162,468","152,495","144,545","161,121","157,999","153,915","157,372","162,438","175,254","176,058","176,694","180,718","183,337","175,887","187,389","189,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,101,969","1,102,481","1,116,454","1,146,719","1,163,221","1,216,922","1,232,038","1,283,202","1,380,821","1,430,597","1,487,160","1,491,335","1,642,384","1,707,354","1,643,496","1,621,647","1,671,086","1,711,734","1,779,961","1,679,342","1,447,866","1,264,078","1,167,292","1,197,343","1,098,184","1,088,921","1,111,357","1,159,731","1,207,204","1,104,564","1,101,003","1,052,333","1,078,468","1,102,832","1,108,660","1,121,251","1,169,912","1,169,735","1,164,470","1,273,008","1,259,616","1,230,341","1,196,049","1,238,292","1,285,139","1,403,414","1,340,467","1,324,077","1,274,262","1,196,579","1,204,917","1,182,982","1,140,419","1,169,110","1,197,140","1,245,106","1,247,579","1,252,286","1,254,777","1,240,072","1,057,237","1,140,180","1,140,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"600,655","593,230","603,338","615,254","620,329","647,426","659,189","657,294","701,445","711,119","731,101","769,271","823,822","862,088","851,571","814,685","877,430","910,868","929,585","850,765","742,766","683,466","638,602","636,475","715,014","712,406","758,023","798,618","771,753","792,209","815,938","783,275","779,449","801,174","829,694","808,870","815,036","819,146","816,296","844,706","850,050","801,895","852,562","885,902","865,025","859,731","860,450","834,645","778,521","747,721","719,848","710,963","683,759","721,544","734,901","750,409","726,443","700,727","704,027","710,600","652,597","710,980","696,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"252,417","253,398","264,169","268,945","262,682","276,842","279,358","282,028","300,262","305,110","302,912","306,270","333,077","352,878","354,364","384,086","402,421","408,962","423,333","439,116","372,660","335,099","337,084","344,475","407,423","391,915","390,775","395,580","432,737","411,768","399,100","366,669","382,061","352,596","346,720","353,830","371,416","374,645","377,110","420,488","389,363","377,245","361,909","419,163","412,120","341,906","351,672","402,282","349,719","346,515","348,037","328,517","329,269","338,696","356,192","340,937","342,457","335,431","343,784","352,555","334,722","338,307","344,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"200,419","199,248","222,878","228,153","234,448","255,784","281,670","292,795","319,352","341,218","357,631","360,989","387,962","417,414","408,739","415,496","446,144","478,067","497,715","502,174","481,043","432,910","429,833","449,654","457,857","444,399","450,380","481,870","511,647","527,575","501,555","497,931","528,196","526,612","528,177","540,851","527,252","563,514","580,206","606,779","594,541","627,963","683,158","644,470","703,989","697,645","699,444","690,076","645,708","640,072","644,009","630,806","619,187","582,930","580,146","590,257","600,380","577,777","601,355","595,265","540,213","583,015","578,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"466,937","469,790","489,667","578,993","626,747","637,032","695,295","750,617","820,845","885,800","900,341","922,075","1,040,684","1,192,015","1,258,807","1,205,113","1,378,762","1,605,874","1,676,335","1,875,478","1,859,619","1,843,551","1,680,330","1,560,429","1,459,360","1,426,499","1,523,944","1,502,306","1,587,062","1,572,980","1,611,729","1,646,691","1,735,750","1,759,008","1,865,978","1,819,022","1,955,598","1,929,691","1,850,600","1,972,528","2,166,184","1,965,937","1,986,027","1,954,979","2,065,896","1,975,571","2,127,341","2,130,984","2,193,330","2,043,025","1,960,761","1,948,732","1,805,140","1,761,543","1,697,703","1,715,538","1,699,579","1,813,724","1,729,104","1,736,453","1,776,048","1,839,499","1,655,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"804,058","823,920","844,011","810,041","838,538","956,316","969,386","1,042,398","1,084,064","1,134,960","1,240,487","1,251,293","1,307,345","1,309,889","1,161,502","1,124,579","1,215,625","1,195,175","1,171,738","990,909","910,027","849,197","798,283","749,558","803,719","793,263","903,068","866,120","877,092","888,008","806,141","779,969","767,820","741,938","718,173","674,294","676,073","725,016","745,338","715,870","739,514","739,924","711,365","730,803","736,401","737,337","648,398","647,827","621,929","571,126","587,698","574,191","536,809","564,699","563,978","577,821","558,922","562,469","576,811","572,694","449,624","502,840","526,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
